,Unnamed: 0,index,name,brand,price,size,short,n,cat,n_cal,n_carb,n_sugar,n_fat,n_tfa,n_prot,n_mass,cal,carb,sugar,fat,tfa,prot
0,0,0,Bio-Zitronen,GUT BIO,1.15,500-g-Net,lemon,500.0,g,1.3,0.41,0.15,0.01,0.0,0.02,5.9,110.16949152542372,34.7457627118644,12.71186440677966,0.847457627118644,0.0,1.694915254237288
1,1,3,Bio-Frischkäse,GUT BIO,0.99,160-g-Packung,creme cheese,160.0,g,60.43,0.5,0.2,4.5,0.0,4.6,20.0,483.44,4.0,1.6,36.0,0.0,36.8
2,2,4,Bio-Bratwürste,GUT BIO,2.99,240-g-Packung,bratwurst,240.0,g,283.05,2.42,0.0,24.8,0.0,11.66,85.0,799.2,6.832941176470588,0.0,70.02352941176471,0.0,32.92235294117647
3,3,5,Bio-Black Tiger Garnelen,GUT BIO,3.99,180-g-Packung,black tiger shrimps,180.0,g,60.0,0.0,0.0,0.0,0.0,15.0,100.0,108.0,0.0,0.0,0.0,0.0,27.0
4,4,6,Bio-Lachsfilets,GOLDEN SEAFOOD,5.99,200-g-Packung,salmon fillets,200.0,g,366.68,0.0,0.0,21.98,0.0,39.34,178.0,412.00000000000006,0.0,0.0,24.69662921348315,0.0,44.202247191011246
5,5,7,Bio-Nackensteaks,GUT BIO,4.79,330-g-Packung,pork neck steak,330.0,g,437.71,0.0,0.0,28.07,0.0,43.22,169.0,854.6999999999999,0.0,0.0,54.8112426035503,0.0,84.39408284023668
6,6,8,Bio-Gemüse,GUT BIO,1.99,750-g-Beutel,mixed vegetables,750.0,g,45.3,9.73,3.66,0.46,0.0,2.38,140.05,242.59193145305244,52.10639057479471,19.600142806140664,2.4634059264548376,0.0,12.745448054266332
7,7,10,Bio Brühwurst,GUT BIO,1.79,125-g-Packung,boiled sausage,125.0,g,180.0,0.0,0.0,15.0,0.0,12.0,56.0,401.7857142857143,0.0,0.0,33.48214285714286,0.0,26.785714285714285
8,8,11,Bio-Orangensaft,GUT BIO,1.69,1-l-Packung,orange juice,1.0,l,111.6,25.79,20.83,0.5,0.0,1.74,248.0,450.0,103.99193548387096,83.99193548387096,2.0161290322580645,0.0,7.016129032258064
9,9,12,Bio-Joghurt mild,GUT BIO,0.99,500-g-Becher,yoghurt,500.0,g,154.35,17.25,17.25,3.8,0.0,12.86,245.0,315.0,35.204081632653065,35.204081632653065,7.755102040816326,0.0,26.244897959183675
